sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
29,Infrastructure Development Office Chitwan,Construction and Upgrading Work of Puspalal lal Pradesh Chakrapath (Adamghat- Manahari Road project),172991453.69,Works,NCB,In-Progress,IDO/CHT/W/NCB/120/078-79
30,Kamal Rural Municipality,"Construction Of Asphalt Concreting work and Road  Lighting System in Kerkha Bazaar, Ward No. 3",4306695.06,Works,NCB,In-Progress,45/KRM/ROAD/2078/079
31,Bharatpur Metropolitian City Office,Blacktopped Road Construction at Golaghat dekhi wildlife resort ra sisabaas jane pitch baato,3938545.32,Works,NCB,Completed,35-BHR/2078/079/W/NCB/106
32,Infrastructure Development Office Chitwan,Construction/Upgrading Work of Uttarakhanda Road,7787666.58,Works,NCB,In-Progress,IDO/CHT/W/NCB/131/078-79
33,Infrastructure Development Office Chitwan,Construction/Upgrading works of Piple Chowk to Dubechaur Samma Tower,2766031.98,Works,NCB,In-Progress,IDO/CHT/W/NCB/116/078-79
34,Infrastructure Development Office Chitwan,Juwa Khola Bridge,26590310.31,Works,NCB,In-Progress,IDO/CHT/W/LRBP/NCB/78/076-77
35,Infrastructure Development Office Chitwan,Construction of Baghmara Dovan RCC Motorable Bridge Over Baghmara Dova Khola,82309689.65,Works,NCB,In-Progress,IDO/CHT/W/NCB/84/076-77
36,Infrastructure Development Office Chitwan,Construction of Shaktikhola Bridge,41261775.86,Works,NCB,In-Progress,IDO/CHT/W/NCB/68/077-78 
37,"Urban Development and Building Office, Rupandehi",Bipasna Centre,8930581.00,Works,NCB,Completed,UDB-RUP/34701013/078-79/60
38,"Urban Development and Building Office, Rupandehi","Construction Of Multipurpose Hall,Sarawal",9704600.40,Works,NCB,Completed,UDB-RUP/34701013/078-79/61
39,"Urban Development and Building Office, Ilam","Community Building Construction,Tumbewa 3 Panchthar",18071090.89,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/12/076-077
40,"Urban Development and Building Office, Rupandehi","Construction Of Dharmashala at Krishnagar,Kapilvastu",20331230.13,Works,NCB,Completed,UDB-RUP/34701013/078-79/59
41,"Urban Development and Building Office, Ilam","Community Building Construction Gauradha-3, Jhapa",29852835.31,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/10/076-077
42,"Urban Development and Building Office, Rupandehi","Construction Of MDrain at Palhinandan-05,Nawalparasi",3688359.55,Works,NCB,Completed,UDB-RUP/34701014/078-79/51
43,"Urban Development and Building Office, Rupandehi","Construction & Maintainance Of BP/Ganeshman Smirti Bhawan ,Bhairahawa",1661932.36,Works,NCB,Completed,UDB-RUP/34701013/078-79/70
44,"Urban Development and Building Office, Rupandehi","Construction OF infrastucture at Bidhutiye Sab Dah,Suddhodhan-02",6939152.03,Works,NCB,Completed,UDB-RUP/34701013/078-79/40
45,"Urban Development and Building Office, Rupandehi","Construction & infrastucture At Muktinath Temple,butwal-12",576941.28,Works,NCB,Completed,UDB-RUP/34701013/078-79/69
46,"Urban Development and Building Office, Ilam",Dokan Danda to Boudha Mod Road Construction and Upgrading Works,16173925.11,Works,NCB,Completed,UDBO/ILAM/W/NCB/13/075-76
47,"Urban Development and Building Office, Rupandehi","Construction of Seminar Hall at Foresty Research Centre , Yogikuti, Butwal, Rupandehi.",8342009.48,Works,NCB,Completed,UDB-RUP/34701013/078-79/09
48,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure(Drain Cover) at Prabhatpath to Bhanupath Road,Si.na.pa.-09, Rupandehi",2589582.24,Works,NCB,In-Progress,UDB-RUP/34701012/078-79/04
49,"Urban Development and Building Office, Rupandehi","Construction of Infrastructure (Road Upgrading Works) at Unnatitole, Omsatiya Rural Municipality, Rupandehi.",1850689.14,Works,NCB,Completed,UDB-RUP/34701012/NCB/078-79/3
50,"Urban Development and Building Office, Rupandehi","Construction of Road and Drain at Semarhana Mayadevi-5, Marchawari-6,Rupandehi",5127135.72,Works,NCB,Completed,UDB-RUP/34701012/NCB/078-79/13
51,"Urban Development and Building Office, Ilam","Construction of Durga Community Building, Gwaldubba, Jhapa",11409368.85,Works,NCB,Completed,UDBO/ILAM/W/NCB/12/075-76
52,"Urban Development and Building Office, Rupandehi","Roadway Upgrading Works at South of Karmahawa Talariya Pokhari, Mayadevi-7, Kapilvastu.",1410889.75,Works,NCB,In-Progress,UDB-RUP/34701012/NCB/078-79/17
53,"Urban Development and Building Office, Rupandehi","Upgrading works of Road at Wasa Basanta Ma.vi Tole & Valuhi- Ahiroli,Sarawal 1 & 2 (Ekikrit Basti Bikas), West Nawalparasi.",5614954.67,Works,NCB,Completed,UDB-RUP/34701012/NCB/078-79/27
54,"Urban Development and Building Office, Ilam",Simingchong Sarbadharma Community Building Construction,18447175.63,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/11/076-077
55,"Urban Development and Building Office, Ilam","Construction Of Community Building in Deurali Bazaar, Ilam",22280922.06,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/18/075-76
56,"Urban Development and Building Office, Ilam","Construction of Road from Durga Chowk to Simsar Kankai-1, Jhapa",36858939.30,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/05/076-077
57,"Urban Development and Building Office, Ilam","Construction of Connecting Road and Drainage from Surunga Bridge to Tappu Kankai-2, Jhapa",34121879.07,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/04/076-077
58,"Urban Development and Building Office, Ilam","Construction of Office Building Water Resource and Irrigation Development Division ,Phidim",16369713.17,Works,NCB,Completed,UDBO/ILAM/W/NCB/02/076-077
59,"Urban Development and Building Office, Ilam",Construction of Madan Bhandari Smrithi Pratisthan Bhawan at Fungling,22299029.10,Works,NCB,In-Progress,UDBO/ILAM/W/NCB/01/076-077
60,"Urban Development and Building Office, Rupandehi","Construction Of Infrastucture at Bipasna Centre,Sarawal-02,Nawalparasi",8930581.00,Works,NCB,Completed,UDB-RUP/34701013/078-79/60.
61,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Jhangar Khola Bridge (RCC 1x15), Nuwakot",34774037.91,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-002
62,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Dhobi Khola Bridge (RCC1X15m), Nuwakot",28370944.05,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-003
63,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Bire Khola Bridge (RCC1X20m), Nuwakot",33542100.19,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-004
64,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Gundre Khola Bridge (RCC1X15m), Nuwakot",35079246.56,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-005
65,"Urban Development and Building Office, Ilam","COnstruction of Road from Gauradaha Everest School to Red Cross Office, Gauradaha-1, Jhapa",16149988.95,Works,NCB,Completed,UDBO/ILAM/W/NCB/09/076-077
66,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Construction of Sukaure Khola Bridge (RCC1X20m), Nuwakot",32230792.78,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-006
67,"Urban Development and Building Office, Ilam","Construction of Community Building at Shri Durga Panchayan Temple Area Arjundhara-2, Jhapa",10858713.62,Works,NCB,Completed,UDBO/ILAM/W/NCB/03/076-077
68,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"Slope Stabilization and Protection for Road Slope Disaster Management of Galchhi Landslide, Dhading (Ch. 2+100) and Jiling Landslide, Nuwakot (Ch. 16+200)",180549903.04,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-007
69,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,"""Slope Stabilization and Protection for Road Slope Disaster Management of Tirtire Bhir Landslide, Nuwakot (Ch. 32+200)""",156819968.15,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-008
70,"Urban Development and Building Office, Ilam","Construction of Jestha Nagarik Community Building, Barhadashi, Jhapa",13665180.54,Works,NCB,Completed,UDBO/ILAM/W/NCB/16/075-76
71,Galchhi Trishuli Mailung Syaprubeshi Rasuwagadhi Road Project,Upgrading of Mailung Syphrubesi Road To Dedicated Double Lane Standard (Chainage 46+000 to 64+841),1451339084.84,Works,NCB,In-Progress,GTMSRRP/337011094/076/77-001
