sl_no,pe_name,contract_name,contract_amount,procurement_category,procurement_method,status,contract_code
707,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Ghatapata,  Devi Dhoganna,  Ratapani  Trail Bridge",20679000.00,Works,NCB,In-Progress,CTP-10/075/76
708,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Chepe,  Kyogma Trail Bridge",31640000.00,Works,NCB,In-Progress,CTP-26/075/76
709,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Bokchegauda and Nalla Chhipra Trail Bridge",16929660.00,Works,NCB,In-Progress,CTP-31/075/76
710,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Dilbagar Ratadhunga Trail Bridge",9547370.00,Works,NCB,In-Progress,CTP-32/075/76
711,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Bartighat,  Mal Trail Bridge",30849000.00,Works,NCB,In-Progress,CTP-35/075/76
712,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Fakland Tapu,  Chisang  Khola  Trail Bridge",29176600.00,Works,NCB,In-Progress,CTP-36/075/76
713,"Beni Municipality Office of Municipal Executive,Beni ,Myagdi",Procurement Of Steel Parts of Chinakhet Steel Truss Bridge,1449714.74,Goods,Sealed Quotation,Completed,BM/SQ/G/03/078-79(RE)
714,"Beni Municipality Office of Municipal Executive,Beni ,Myagdi",Procurement Of Steel Parts of Bhakimli thulo khola Steel Truss Bridge,1641697.90,Goods,Sealed Quotation,Completed,BM/SQ/G/04/078-79(RE)
715,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Devasthal Kalikhola,  Lopre,  Devalkhalachour  Trail Bridge",42332060.00,Works,NCB,In-Progress,CTP-40/075/76
716,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Thotne,  Pilampa,  Rawa (Jalapa)   Trail Bridge",26442000.00,Works,NCB,In-Progress,CTP-02/074/75
717,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Deurali Odar,  Rukumgad,  Ri Khola   Trail Bridge",27572000.00,Works,NCB,In-Progress,CTP-06/074/75
718,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Sanibheri Jyamirkhet,  Tripurakot Trail Bridge",33893220.00,Works,NCB,In-Progress,CTP-07/ 074/75
719,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Sawa Khola Ratmate Tamakoshi (Khimti Jyamire) Trail Bridge",19210000.00,Works,NCB,In-Progress,CTP-49/076/77
720,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Pelma Tatopani Trail Bridge",42714000.00,Works,NCB,In-Progress,CTP-16/074/75
721,208 Road Division Lalitpur,Road Improvement Works on Lalitpur Konjosom Ga.pa. Nallu- Mahaankal Ga.Bi.Sa. Gothikhel Jodne Road.,12285784.00,Works,NCB,In-Progress,DROLTP/33701169-4/078/79-15
722,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Rawakhola (Rimkham),  Balamta Rajapani,  Sipakhola  Trail Bridge",21299935.00,Works,NCB,In-Progress,CTP-17/074/75
723,208 Road Division Lalitpur,"Bio Engineering Works at Gwarko Lakuri Bhanjyang Road, Lalitpur",967320.68,Works,Sealed Quotation,In-Progress,DROLTP/33731011-3/078/79/016Re
724,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Purano Chainpur Madi Poklabang Bamsuwa Khola Trail Bridge",22713753.71,Works,NCB,In-Progress,CTP-50/076/77
725,208 Road Division Lalitpur,"Road Infrastructure Development works in Bogateshwor Mahadev Mandir- Godwari Khola Road, Mahalaxmi Na.Pa.05, Tikathali,Lalitpur",1882225.06,Works,Sealed Quotation,In-Progress,DROLTP/33701137-4/078/79/019Re
726,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Pathamari Multispan Trail Bridge",41229265.00,Works,NCB,In-Progress,NCB-01/073/74
727,208 Road Division Lalitpur,"Asphalt Pavement works in Champi Tikabhairab Road,Lalitpur",14358985.47,Works,NCB,In-Progress,DROLTP/33731011-3/078/79-022
728,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Igulbare and  Rumalo Trail Bridge",24182000.00,Works,NCB,In-Progress,CTP-2/073/74
729,208 Road Division Lalitpur,Road Upgrading works in Ishimod Dhapakhel Naagdaha chowk Jharuwa Barasi Road,14222495.92,Works,NCB,In-Progress,DROLTP/33701120-4/078/79-023(Re)
730,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Bugadghat Trail Bridge",5609000.21,Works,NCB,In-Progress,CTP-13/073/74
731,"Nepalgunj Sub Metropolitan Office, Banke",Store room construction work,2450061.40,Works,NCB,In-Progress,NSMC/NCB/W02/078-079
732,208 Road Division Lalitpur,Road Upgrading works in Lakuri Bhanjyang Manedovan Road (Package-1),29029172.46,Works,NCB,In-Progress,DROLTP/33701138-4/078/79-025
733,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Khanti Lakhang Gumba Multispan Trail Bridge",58266427.68,Works,NCB,In-Progress,NCB-36/076/77
734,"Nepalgunj Sub Metropolitan Office, Banke",Fultekra talau gherbar nirman karya,10805971.09,Works,NCB,In-Progress,NSMC/NCB/W10/078-079
735,"Nepalgunj Sub Metropolitan Office, Banke",Road construction work at different places of NSMC (package 2),11674027.66,Works,NCB,In-Progress,NSMC/NCB/W07/078-079
736,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Dhunge Khola Trail Bridge",21534304.07,Works,NCB,In-Progress,NCB-37/076/77
737,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Kutaghat Multispan Trail Bridge",43408541.20,Works,NCB,Completed,NCB-26/073/74
738,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Galfaghat Multispan Trail Bridge",49274557.98,Works,NCB,In-Progress,NCB-27/073/74
739,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Simli Garayal,  Shyamka chola Trail Bridge",28745844.00,Works,NCB,In-Progress,CTP-34/073/74
740,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Kisne Khola  Trail Bridge",33079599.65,Works,NCB,In-Progress,NCB-38/076/77
741,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Sahasibasti Trail Bridge",31581985.62,Works,NCB,In-Progress,NCB-39/076/77
742,"NEA, Engineering Services Directorate, Building and Physical Infrastructure Construction Project",Construction of NEA Office Buildings at Lainchaur and Bhagwanpaau,764033393.14,Works,NCB,In-Progress,NEA-BPICP-NCB-01/2078/79
743,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Sovanchaur Lift ISP,3239247.53,Works,NCB,In-Progress,04/078-079/NCB/Works/ISP/DWIED-Surkhet
744,"Nepalgunj Sub Metropolitan Office, Banke",Road construction work at different places of NSMC (package 1),75234916.92,Works,NCB,In-Progress,NSMC/NCB/W05/078-079
745,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Satmerighat Trail Bridge",36576332.79,Works,NCB,In-Progress,NCB-37/072/73
746,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Chhapre Lift WSP Gayakhola Scheme,27091636.92,Works,NCB,In-Progress,01/078-079/NCB/Works/WSP/DWIED-Surkhet
747,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of Chisapani Bafardamar rail Bridge",23065253.73,Works,NCB,Completed,NCB-40/076/77
748,"Nepalgunj Sub Metropolitan Office, Banke",Road construction work at different places of NSMC (package 3),8670677.51,Works,NCB,In-Progress,NSMC/NCB/W08/078-079
749,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Chhapre Lift WSP  Sanni & Paisara Scheme,22940278.91,Works,NCB,In-Progress,02/078-079/NCB/Works/WSP/DWIED-Surkhet
750,"Nepalgunj Sub Metropolitan Office, Banke",Deep boring marmat sambhar karya,2696805.50,Works,NCB,In-Progress,NSMC/NCB/W09/078-079
751,208 Road Division Lalitpur,Road Upgrading works in Lakuri Bhanjyang Manedovan Road (Package-2),26685129.05,Works,NCB,In-Progress,DROLTP/33701138-4/078/79-026
752,208 Road Division Lalitpur,Periodic Maintenance of Gwarko - Lubhu- Lakuribhanjyang Road .,7632330.51,Works,NCB,In-Progress,DROLTP/33731011-3/078/079-030
753,208 Road Division Lalitpur,"Traffic Safety works in SRN / SURNs, Lalitpur",626798.01,Works,Sealed Quotation,In-Progress,DROLTP/33701136-4/078/079-032
754,208 Road Division Lalitpur,Supply work of construction materials at RD Lalitpur (Package -03),1694326.52,Works,Sealed Quotation,In-Progress,DROLTP/33731011-3/078/079-034
755,208 Road Division Lalitpur,Supply work of construction materials at RD Lalitpur (Package -04),1686773.60,Works,Sealed Quotation,In-Progress,DROLTP/33731011-3/078/079-035
756,208 Road Division Lalitpur,Specific Maintenance works in Bhoje pokhari -Imadole Road Lalitpur,1655869.23,Works,Sealed Quotation,Completed,DROLTP/33731011-3/078/079-036
757,Suspension Bridge Division (SBD),Triveni Maheshpur (Susta) Multispan Trail Bridge,236598807.90,Works,NCB,Completed,CTP-17/071/72
758,Suspension Bridge Division (SBD),Trivenidham (Balmiki Asram) Trail Bridge,58722385.69,Works,NCB,In-Progress,CTP-30/069/70
759,Suspension Bridge Division (SBD),"Fabrication, Supply, Transportation, Construction and Erection of  Bhurchaur Raira  Trail Bridge",23391000.00,Works,NCB,In-Progress,CTP-09/078/79
760,"Bhadrapur Municipality, Jhapa",Construction of Administrative building at Ward-3,12432482.54,Works,NCB,Completed,BDP/CONSTRUCTION/WORKS/NCB/03-078/79
761,"Bhadrapur Municipality, Jhapa",Construction of 18 Nos of Mayor Santhal Aawas at Bhadrapur-3,7898560.97,Works,NCB,Completed,BDP/CONSTRUCTION/WORKS/NCB/04-078/79
762,"Bhadrapur Municipality, Jhapa","Construction of Municipality Building and Nagarprahari staff quarter building, Bhadrapur-6",47935339.42,Works,NCB,In-Progress,BDP/CONSTRUCTION/WORKS/NCB/02-078/79
763,"Bhadrapur Municipality, Jhapa",Construction of 8 roomed 2 storey classroom building at Himali School,8927905.92,Works,NCB,Completed,BDP/CONSTRUCTION/WORKS/NCB-002/077-78
764,"Bhadrapur Municipality, Jhapa","Construction of Science Park, Bhadrapur-9",0.00,Works,NCB,In-Progress,BDP/CONSTRUCTION/WORKS/NCB-003/077-78
765,"Bhadrapur Municipality, Jhapa",Construction work at Kamaldhap Simsar Chhetra,43803579.39,Works,NCB,In-Progress,04/Bhadrapur/Mun/NCB/Works
766,"Bhadrapur Municipality, Jhapa",Blacktopped road Maintenance,2160158.14,Works,NCB,Completed,BDP/ROAD/WORKS/NCB-003/77-78
767,"Bhadrapur Municipality, Jhapa",Blacktopped road maintenance at ward-8,3729631.56,Works,NCB,Completed,BDP/ROAD/WORKS/NCB-002/077-78
768,"Bhadrapur Municipality, Jhapa","Blacktopped road maintenance at ward-1/2,9,10",2561582.88,Works,NCB,Completed,BDP/ROAD/WORKS/NCB-001/077-78
769,"Bhadrapur Municipality, Jhapa",Construction of RCC drain from Janta chowk to Mechi Bhansar road ward-5/6,13981834.09,Works,NCB,Completed,025/Bhadrapur/Mun/NCB/Works
770,"Bhadrapur Municipality, Jhapa",Construction of Sagarmatha school building at ward-02,3697700.49,Works,NCB,Completed,016/Bhadrapur/Mun/NCB/Works
771,"Bhadrapur Municipality, Jhapa",Construction of Compound wall at Science park,2565360.84,Works,NCB,Completed,019/Bhadrapur/Mun/NCB/Works
772,"Bhadrapur Municipality, Jhapa",Construction of Compound wall at Science park-09,7386390.87,Works,NCB,Completed,007/Bhadrapur/Mun/NCB/Works
773,"Bhadrapur Municipality, Jhapa",Construction work of subsurface drain,7767721.10,Works,NCB,In-Progress,09/Bhadrapur/Mun/NCB/Works
774,Butwal Sub-Metropolitan City,Construction of Black Top Road With Side Drain,20423682.83,Works,NCB,In-Progress,05/078/79/BSMC/Works/NCB
775,Butwal Sub-Metropolitan City,"Construction of Road with Side Drain and Culvert, Butwal-11, Devipath (Devsiddha Chowk to Simana Sadak)",18058875.95,Works,NCB,In-Progress,10/078/79/BSMC/Works/NCB
776,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Taranga Lift WSP,62731800.57,Works,NCB,In-Progress,07/076-077/NCB/Works/WS/WSIEDO-Surkhet
777,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Construction of Overhead Tank Bishalbazar,11129971.80,Works,NCB,In-Progress,03/078-079/NCB/Works/WSP/DWIED-Surkhet
778,Water resources and Irrigation Development Division Kapilvastu,"Construction of Guide bund and afflux bund, Headworks, Canal lining, VRBs, Retaining wall and proportional divider of Gaddaghat IP",56463805.21,Works,NCB,In-Progress,WRIDDO/Kapilvastu/NCB/Gaddaghat.A-05/078-079
779,Water resources and Irrigation Development Division Kapilvastu,"Construction of Canal lining, Field outlet, Footbridge, drop structure and main canal reshaping of Gaddaghat IP",46691512.83,Works,NCB,In-Progress,WRIDDO/Kapilvastu/NCB/Gaddaghat.B-06/078-079
780,"Road Infrastructure Development Office, Arghakhanchi","Upgrading of Patauti Durgaphat Kukhure Deurali Kharjyang Ranibas Simichaur Tamghas Road ( Patauti Durgaphat Kharjyang Section, Ch: 0+000 to 15+080)",179235803.43,Works,NCB,In-Progress,RIDO-ARG-W-NCB-75-2077/078
781,Kathmandu Metropolitan City Office,"Road and Sewer Works at Shubhakamana Tole, Alkapuri Marg, Ekal Galli and Namuna Marga at KMC - 16",6233101.95,Works,NCB,In-Progress,24-145-078-79-NCBW-KMC
782,"Road Infrastructure Development Office, Arghakhanchi",Upgrading of Sandhikharka-Gachhe-Dhikura-Dhancaur-Jukena-Jaluke- Lamatal-Badidamar-Chite-Rampur Road (Gachhe-Dhikura-Dhanchaur Todke Section),126205901.93,Works,NCB,Completed,RIDO-ARG-W-NCB-38-2077/078
783,"Road Infrastructure Development Office, Arghakhanchi",Upgrading of Chhatradev Ga.Pa. Pahuch Marg :Divarna Jarekhola Dharapati Chhtragunj Road (Chainage 0+000 to 13+800),218409864.58,Works,NCB,In-Progress,RIDO-ARG-W-NCB-39-2077/078
784,"Road Infrastructure Development Office, Arghakhanchi","Upgrading of Panini Rural Municipality Access Road : Ghumti Tingire (Adguri Durgaphat Section, Chainage 3+000 to 14+700)",142280822.22,Works,NCB,In-Progress,RIDO-ARG-W-NCB-69-2077/078
785,"Road Infrastructure Development Office, Arghakhanchi",Upgrading of Malarani RM Access Road : Chyandanda Diverna Khana Khanadaha Dandakatari Road (Chainage 0+000 to 16+000),214790425.14,Works,NCB,In-Progress,RIDO-ARG-W-NCB-40-2077/078
786,"Madan Bhandari Road Project,Tamghas Gulmi","Construction of Simply Supported, Cast-in-Situ, 2 Webbed Pre-stressed Concrete Slab-Deck Bridge (2x30.0m Span, Total Length 64.15 m) over Nisti Khola along Kharibot - Chisapani Road, Gulmi",129299831.07,Works,NCB,In-Progress,MBHPG/33701122/078-79/BC-09
787,"Road Infrastructure Development Office, Arghakhanchi",Upgrading of Sandhikharka-Balkot-Tamghas Road (Balkot-Neta Section),194990887.02,Works,NCB,In-Progress,RIDO-ARG-W-NCB-136-2076/077
788,"Madan Bhandari Road Project,Tamghas Gulmi","Construction of Pre-stressed Concrete Bridge (1x40m Span, Total Length 41.2 m) over Panaha Khola at Simajhulkine , Gulmi",72189188.66,Works,NCB,In-Progress,MBRPG/33701122/078-79/BC-04
789,"Road Infrastructure Development Office, Arghakhanchi","Upgrading of Sandhikharka-Gachhe-Dhikura-Dhancaur-Jukena-Jaluke- Lamatal-Badidamar-Chite-Rampur Road (Todke - Lamatal Section, Ch.: 18+160 to Ch.: 47+777)",264776538.33,Works,NCB,In-Progress,RIDO-ARG-W-NCB-02-2078/079
790,"Road Infrastructure Developmant Office, Kapilvastu","BIMIHA CHOEK DEKHI MADHUNAGRA, MAHADEV, MADARGADH TO SOHSA ROAD, KAPILVASTU",97799327.07,Works,NCB,In-Progress,RIDOKAP/10134/NCB/078-79/111
791,"Road Infrastructure Developmant Office, Kapilvastu","CHAKARCHAURA-DOHANI-PACHEHARA ROAD, KAPILVASTU",53167809.05,Works,NCB,In-Progress,RIDOKAP/10134/NCB/078-79/112
792,"Road Infrastructure Developmant Office, Kapilvastu","LODDIH EAST BOX CULVERT CONSTRUCTION, KAPILVASTU",19776706.64,Works,NCB,In-Progress,RIDOKAP/10134/NCB/078-79/113
793,"Road Infrastructure Developmant Office, Kapilvastu","JHARUWA CHOWK DEKHI BITHUWA HUDAI CHOTI DIHWA TO NEPAL BORDER, KAPILVASTU",67708952.44,Works,NCB,In-Progress,RIDOKAP/10134/NCB/078-79/114
794,Butwal Sub-Metropolitan City,"Construction of Black Top Road, Butwal-14, Belbhariya School to Mountain Truss",4749276.64,Works,NCB,In-Progress,17/078/79/BSMC/Works/NCB
795,Butwal Sub-Metropolitan City,"Construction of Black Top Road, Belbhariya Chowk to Krishi Bazar Karshaghat Bridge Second Package",7531078.75,Works,NCB,In-Progress,22/078/79/BSMC/Works/NCB
796,Butwal Sub-Metropolitan City,"Construction of Kulla Manch with Boundary Wall, Butwal-11, Devinagar",53239513.84,Works,NCB,In-Progress,15/078/79/BSMC/Works/NCB
797,"Rajapur Municipality Office, Rajapur",Construction of Community Building,2370775.90,Works,NCB,In-Progress,22/RM/NCB/W/2078/079
798,Butwal Sub-Metropolitan City,"Construction of Road with Side Drain and Footpath, Butwal-11, Rangasala Path",67014610.16,Works,NCB,In-Progress,13/078/79/BSMC/Works/NCB
799,Butwal Sub-Metropolitan City,"Construction of Black Top Road with Side Drain, Butwal 14, 15, 16 Imili Chowk to Binayakpur",25518202.39,Works,NCB,In-Progress,19/078/79/BSMC/Works/NCB
800,Butwal Sub-Metropolitan City,"Construction of Lumbini Sports Complex Covered Hall Phase-2, Butwal-06, Chandari",4503441.96,Works,NCB,In-Progress,21/078/79/BSMC/Works/NCB
801,"Rajapur Municipality Office, Rajapur",Ward No 5 pahadipur dekhi ward no 10 Lalpur samma Blacktop road construction works  Phase-2,38852744.04,Works,NCB,In-Progress,35/RM/NCB/ W/2078/079
802,"Rural Connectivity Improvement Project (RCIP), Project Implementation Unit (PIU 1), Jhapa",Upgrading of Puspalal Chowk - Gachhiya Road,522473722.84,Works,NCB,In-Progress,DoLI/RCIP/Works/NCB-01/2075/076
803,"Bhadrapur Municipality, Jhapa",Construction of office building (Single storey RCC frame structure) of Bhadrapur Municipality,34431196.44,Works,NCB,In-Progress,BM/BHADRAPUR/JHAPA/01/072-73
804,Bharatpur Metropolitian City Office,Construction of Administrative Building of Bharatpur Metropolitan City,533241138.06,Works,NCB,In-Progress,36-BMC/2078/079/W/NCB/99
805,North South Mulghat Dobhan Olangchunggola Road Project,Upgrading to Blacktop Road Standard of Basantapur-Guphapokhari-Sabhapokhari-Dhungesanghu-Dhoban-Taplejung Road (Madan Bhandari Marga) (Dobhan-Bahanande Section),339946626.29,Works,NCB,In-Progress,MDORP/337011694/078/79-08
806,208 Road Division Lalitpur,"Road Infrastructure Development Program along Road Infrastructure Development Program along Thaiba-Dashare Road, Lalitpur",5823375.56,Works,NCB,In-Progress,DROLTP/33701137/076/77-04
807,208 Road Division Lalitpur,Reactive Maintenance works along LakuriVanjyang- Manedovan Road,3191030.73,Works,NCB,In-Progress,DROLTP/337310113/076/77-020
808,208 Road Division Lalitpur,Upgrading and Rehabilitation works along Lubhu-Lakuribhanjyang-Manedovan Road,34162900.09,Works,NCB,In-Progress,DROLTP/337011384/076/77-030
809,208 Road Division Lalitpur,Upgrading and Rehabilitation works along Godawari-Phulchowki Road(Package 2),42710160.12,Works,NCB,In-Progress,DROLTP/33701138-4/076/77-055
810,"Federal Water Supply and Sewerage Management Project, Ramechhap",Construction of Nangedanda Large Pumping Water Supply Project works with 1-Year Operation and Maintenance,338711232.52,Works,NCB,In-Progress,FWSSMP/WRAM/CRLWSP/01/NAG/078/79
811,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Todka Bhanjyang WSP,66404427.29,Works,NCB,In-Progress,24/075-076/NCB/Works/WSP/WSSDO-Surkhet
812,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Dundure WSP,13740935.00,Works,NCB,In-Progress,01/076-077/NCB/Works/WS/WSIEDO-Surkhet
813,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Gochchhe Khola River Training Works.,28433837.44,Works,NCB,In-Progress,NCB/20/GOC/074-075
814,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Gasa WSP,49154301.30,Works,NCB,In-Progress,MYC-02-074-075-RMSO-Surkhet
815,"Directorate of Water Supply, Irrigation and Energy Development, Surkhet",Bhulke WSP,14410617.79,Works,NCB,In-Progress,MYC-03-074-075-RMSO-Surkhet
816,"Kapilvastu Municipality, Office of Municipal Executive",Construction of Dangari Basantpur Road,2306994.21,Works,NCB,In-Progress,KM/NCB/RD/078/079-06
817,"Kapilvastu Municipality, Office of Municipal Executive",PCC Dhalan tatha Nali Nirman,1956395.71,Works,NCB,In-Progress,KM-NCB/RD/078/079-16
818,Kathmandu Metropolitan City Office,"Truss and Steel Crossing Works at Ratna Rajya Higher Secondary School, KMC - 10",4082967.40,Works,Sealed Quotation,In-Progress,28-169-078-79-SQW-KMC
819,Kathmandu Metropolitan City Office,Sewerage Construction and Road Maintenance Works at New Plaza of KMC - 29,7276444.45,Works,NCB,In-Progress,24-148-078-79-NCBW-KMC
820,Kathmandu Metropolitan City Office,"Sewer and Road Construction at Yeti Tole, Kotdevi and Himali Marg, KMC - 32",9078514.65,Works,NCB,In-Progress,20-90-078-79-NCBW-KMC
821,Kathmandu Metropolitan City Office,"Black Topping Works at Ekta Marg and Surrounding Area Roads, KMC - 16",6063075.60,Works,NCB,In-Progress,20-93-078-79-NCBW-KMC
822,Kathmandu Metropolitan City Office,"Sewer and Road Construction Work at Milap, Paropakar, Rudra Marg, Milan Chowk, Bhrikuti Chowk, KMC - 6",13107008.67,Works,NCB,In-Progress,21-105-078-79-NCBW-KMC
823,Kathmandu Metropolitan City Office,"Road Construction Work at Araniko Marg, Sahitya Marg and Sinamangal, KMC - 09",3515568.00,Works,NCB,In-Progress,20-88-078-79-NCBW-KMC
824,"National Information Technology Center, Kathmandu",Nextgen Solutions Pvt Ltd,91275637.00,Goods,NCB,Completed,The Renewal of License of Security Appliances
825,Kathmandu Metropolitan City Office,"Stone, RCC and Block Paving Work at Ganeshsthan and Pannahiti, KMC - 7",4510912.30,Works,NCB,In-Progress,21-104-078-79-NCBW-KMC
826,Kathmandu Metropolitan City Office,"Road Construction Works at Dirghayu Hospital, Adarsha Basti Marg, Gangahiti Madhya and Anurag Marg, KMC - 7",6393635.80,Works,NCB,In-Progress,21-103-078-79-NCBW-KMC
827,"National Information Technology Center, Kathmandu",World Distribution Nepal Pvt Ltd,28476000.00,Goods,NCB,Completed,NITC/G/NCB-2/078-79
828,Butwal Sub-Metropolitan City,"Construction of Black Topped Road (Phase-II), Rangashala Marga, Butwal-11",23248186.19,Works,NCB,In-Progress,27/078/79/BSMC/Works/NCB
829,Butwal Sub-Metropolitan City,"Construction of Tick Drain and Footpath, Butwal-11, Devipath, Devshiddha Chowk to Simana Sadak",10885695.59,Works,NCB,In-Progress,28/078/79/BSMC/Works/NCB
830,Butwal Sub-Metropolitan City,"Construction of Ward Office Building, Butwal-08, Rupandehi",25329403.06,Works,NCB,In-Progress,25/078/79/BSMC/Works/NCB
831,Butwal Sub-Metropolitan City,"Construction of Association Building, Butwal, Rupandehi",5445097.44,Works,NCB,In-Progress,34/089/79/BSMC/Works/NCB
832,Butwal Sub-Metropolitan City,"RCC Bedbar Construction at Tinau River, Butwal, Rupandehi",6529519.12,Works,NCB,In-Progress,24/078/79/BSMC/Works/NCB
833,Butwal Sub-Metropolitan City,"Road Maintenance Work, Butwal-05, Shantipath, Rupandehi",5227975.26,Works,NCB,In-Progress,38/078/79/BSMC/Works/NCB
834,Butwal Sub-Metropolitan City,"Construction of Boundary Wall, Butwal-10, Ramnagar",41076483.45,Works,NCB,In-Progress,39/077/078/NCB
835,"Ilam Municipality, Office of the Municipal Executive, Ilam, Koshi Province, Nepal","Waste Management Center Construction, Ilam Municipality-09",28657873.24,Works,NCB,Completed,imoilam/ncb/work/06-078/079
836,"Ilam Municipality, Office of the Municipal Executive, Ilam, Koshi Province, Nepal","Milgolai Binapani Road Construction, Ilam Municipality-03",30818415.47,Works,NCB,Completed,imoilam/ncb/work/002-078/079
837,"Ilam Municipality, Office of the Municipal Executive, Ilam, Koshi Province, Nepal","Ribs Sumbek Road Construction (Blacktop), Ilam Municipality-05 & 02",7901863.71,Works,NCB,Completed,imoilam/ncb/work/01-078/079
838,"People's Embankment Program, Field Office No. 3, Sarlahi",Bank Protection with Step Revetment with Launching at bake River,7519482.36,Works,NCB,Completed,PEP3/BKRTMW/NCB-01/078/079
839,"Ilam Municipality, Office of the Municipal Executive, Ilam, Koshi Province, Nepal",Kiratchowk to Ruluk Road Improvement,1976958.11,Works,NCB,In-Progress,imoilam/ncb/work/05-078/079
840,Nagarjun Municipality,Aadharbhut Swasthya Sewa Kendra Bhawan Ward No. 1,2891505.17,Works,NCB,In-Progress,Nagarjun/NCB/W/20/2078-79
841,Bandipur Rural Municipality,Construction of Bangaesimal Water Supply Project,5806276.12,Works,NCB,Completed,BRM/NCB/WORKS/21/2078-079
842,Bandipur Rural Municipality,Construction of First Floor of Bandipur Hospital.,1942733.28,Works,Sealed Quotation,Completed,BRM/NCB/WORKS/SQ/19/2078-079
843,Kathmandu Metropolitan City Office,"Sewer Upgrade and Road Construction Works at Koteshwor Aishwarya Marga, KMC -32",9260724.50,Works,NCB,In-Progress,28-172-078-79-NCBW-KMC
844,"Kapilvastu Municipality, Office of Municipal Executive",Samudayik Bhawan Nirman Dharmapaniya Ward no.7,1567034.65,Works,NCB,In-Progress,KM/NCB/BDG/078/079/25
845,Kathmandu Metropolitan City Office,"SATTAL CONSTRUCTION WORK AT GAGANESHWOR PREMISES,KOTESHWOR MAHADEVSTHAN,KMC-32",13125878.60,Works,NCB,In-Progress,21-107-078-079-NCBW-KMC
846,Kathmandu Metropolitan City Office,"ROAD BLACKTOP WORKS AT NAGESWAR MARGA AND KHAIBA MARGA,KMC-06",18276710.56,Works,NCB,In-Progress,20-92-078-79-NCBW-KMC
847,Kathmandu Metropolitan City Office,"Retaining Wall Construction and Protection Works at Pipali Bihar, KMC-7 (Re-Notice)",2797233.60,Works,Sealed Quotation,In-Progress,23-131-078-079-SQW-KMC
848,Kathmandu Metropolitan City Office,"R.C.C ROAD CONSTRUCTION WORKS AT BIJAY MARG,KMC-13",4116961.35,Works,NCB,In-Progress,19-76-078-79-NCBW-KMC
849,"Kapilvastu Municipality, Office of Municipal Executive",Baludyan tatha bajar saundirakaran wrad no1,2779762.99,Works,NCB,In-Progress,KM/NCB/RD/078/079/27
850,"Kapilvastu Municipality, Office of Municipal Executive",Construction of Lift Irrigation at KMNP-12 Piparahawa,11084631.65,Works,NCB,In-Progress,KM/NCB/LI/078/079-30
851,"Kapilvastu Municipality, Office of Municipal Executive",Construction of Deep Tube well at KMNP-12 Bithuwa,4018094.00,Works,NCB,In-Progress,KM/NCB/DWT/078/079-31
852,Nagarjun Municipality,Aadharbhut Swasthya Sewa Kendra Bhawan Ward No. 7,3894836.96,Works,NCB,In-Progress,Nagarjun/NCB/W/21/2078-79
